State,District,Year,Rice,,
,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,56605,169077,2.99
,2. Anakapalli,2022 - 2023,58204,182929,3.14
,3. Anantapur,2015 - 2016,20033,61012,3.05
,,2016 - 2017,17983,44138,2.45
,,2017 - 2018,12293,30831,2.51
,,2018 - 2019,21938,58673,2.67
,,2019 - 2020,18209,65726,3.61
,,2020 - 2021,20037,54581,2.72
,,2021 - 2022,23267,48411,2.08
,,2022 - 2023,21151,78103,3.69
,4. Annamayya,2022 - 2023,11171,36351,3.25
,5. Bapatla,2022 - 2023,99437,412133,4.14
,6. Chittoor,2015 - 2016,9476,32587,3.44
,,2016 - 2017,22905,78527,3.43
,,2017 - 2018,15061,53768,3.57
,,2018 - 2019,17422,64122,3.68
,,2019 - 2020,10664,42981,4.03
,,2020 - 2021,29724,108006,3.63
,,2021 - 2022,38721,135704,3.5
,,2022 - 2023,12287,36828,3
,7. East godavari,2015 - 2016,227836,696471,3.06
,,2016 - 2017,220489,737644,3.35
,,2017 - 2018,225683,771836,3.42
,,2018 - 2019,222214,830017,3.74
,,2019 - 2020,221042,744209,3.37
,,2020 - 2021,220431,498020,2.26
,,2021 - 2022,229825,533960,2.32
,,2022 - 2023,76252,279665,3.67
,8. Eluru,2022 - 2023,89222,359679,4.03
,9. Guntur,2015 - 2016,160608,465820,2.9
,,2016 - 2017,163747,685336,4.19
,,2017 - 2018,183828,766563,4.17
,,2018 - 2019,216433,857796,3.96
,,2019 - 2020,220272,877858,3.99
,,2020 - 2021,213628,668086,3.13
,,2021 - 2022,222643,653977,2.94
,,2022 - 2023,61705,258966,4.2
,10. Kadapa,2015 - 2016,18625,50337,2.7
,,2016 - 2017,44388,146747,3.31
,,2017 - 2018,30717,70496,2.3
,,2018 - 2019,39041,126779,3.25
,,2019 - 2020,32647,99769,3.06
,,2020 - 2021,36780,70201,1.91
,,2021 - 2022,52146,87223,1.67
,,2022 - 2023,27616,88721,3.21
,11. Kakinada,2022 - 2023,89585,283866,3.17
,12. Konaseema,2022 - 2023,56241,173335,3.08
,13. Krishna,2015 - 2016,210818,707083,3.35
,,2016 - 2017,215895,833499,3.86
,,2017 - 2018,235984,930721,3.94
,,2018 - 2019,245815,1022427,4.16
,,2019 - 2020,243863,945538,3.88
,,2020 - 2021,250926,812833,3.24
,,2021 - 2022,247769,846875,3.42
,,2022 - 2023,162774,646104,3.97
,14. Kurnool,2015 - 2016,46316,145993,3.15
,,2016 - 2017,79264,322068,4.06
,,2017 - 2018,59592,206963,3.47
,,2018 - 2019,88858,346199,3.9
,,2019 - 2020,82759,329605,3.98
,,2020 - 2021,83979,247240,2.94
,,2021 - 2022,85481,265761,3.11
,,2022 - 2023,11676,39426,3.38
,15. Nandyal,2022 - 2023,64432,250121,3.88
,16. Ntr,2022 - 2023,46135,180573,3.91
,17. Palnadu,2022 - 2023,38621,144751,3.75
,18. Parvathipuram manyam,2022 - 2023,71419,237456,3.32
,19. Prakasam,2015 - 2016,14187,61438,4.33
,,2016 - 2017,19297,64177,3.33
,,2017 - 2018,27547,107543,3.9
,,2018 - 2019,27778,102036,3.67
,,2019 - 2020,29872,111711,3.74
,,2020 - 2021,26622,90446,3.4
,,2021 - 2022,33260,102419,3.08
,,2022 - 2023,12432,41051,3.3
,20. Spsr nellore,2015 - 2016,30413,110683,3.64
,,2016 - 2017,73827,287991,3.9
,,2017 - 2018,21184,81029,3.83
,,2018 - 2019,26638,94011,3.53
,,2019 - 2020,16680,64015,3.84
,,2020 - 2021,88911,320079,3.6
,,2021 - 2022,52223,196602,3.76
,,2022 - 2023,24534,94995,3.87
,21. Sri sathya sai,2022 - 2023,4317,11187,2.59
,22. Srikakulam,2015 - 2016,204003,470320,2.31
,,2016 - 2017,203411,605174,2.98
,,2017 - 2018,210682,531129,2.52
,,2018 - 2019,209426,431177,2.06
,,2019 - 2020,209640,594503,2.84
,,2020 - 2021,195124,504643,2.59
,,2021 - 2022,197038,514680,2.61
,,2022 - 2023,151116,473679,3.13
,23. Tirupati,2022 - 2023,21884,85187,3.89
,24. Visakhapatanam,2015 - 2016,103090,219339,2.13
,,2016 - 2017,105460,237203,2.25
,,2017 - 2018,104922,218972,2.09
,,2018 - 2019,99900,168397,1.69
,,2019 - 2020,96998,230642,2.38
,,2020 - 2021,102722,249848,2.43
,,2021 - 2022,98935,244463,2.47
,,2022 - 2023,5008,16831,3.36
,25. Vizianagaram,2015 - 2016,124275,366590,2.95
,,2016 - 2017,122205,371142,3.04
,,2017 - 2018,122675,364590,2.97
,,2018 - 2019,121499,284061,2.34
,,2019 - 2020,119381,384713,3.22
,,2020 - 2021,108497,310379,2.86
,,2021 - 2022,127872,374275,2.93
,,2022 - 2023,93643,339003,3.62
,26. West godavari,2015 - 2016,229204,727885,3.18
,,2016 - 2017,230785,820044,3.55
,,2017 - 2018,226760,807492,3.56
,,2018 - 2019,226925,857555,3.78
,,2019 - 2020,224398,850763,3.79
,,2020 - 2021,223249,572064,2.56
,,2021 - 2022,221874,675091,3.04
,,2022 - 2023,84891,283083,3.33
